Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Matric,Psychology,"MS Office, Communication, Financial Analysis",Digital Marketing,64,Business Analyst,"Matric Psychology MS Office, Communication, Financial Analysis Digital Marketing"
Master's,Arts,Accounting,CFA Level 1,79,Software Engineer,Master's Arts Accounting CFA Level 1
Master's,Business,"Communication, Marketing",Mental Health Basics,76,Research Scientist,"Master's Business Communication, Marketing Mental Health Basics"
PhD,Arts,"Machine Learning, Counseling, Accounting",Digital Marketing,92,Research Scientist,"PhD Arts Machine Learning, Counseling, Accounting Digital Marketing"
Matric,Engineering,"SQL, Counseling",CFA Level 1,85,ML Engineer,"Matric Engineering SQL, Counseling CFA Level 1"
Bachelor's,Arts,Accounting,CFA Level 1,81,Business Analyst,Bachelor's Arts Accounting CFA Level 1
Master's,Finance,"Counseling, Python, Financial Analysis",Mental Health Basics,66,Research Scientist,"Master's Finance Counseling, Python, Financial Analysis Mental Health Basics"
Matric,Psychology,"Financial Analysis, Counseling, SQL",Creative Writing,86,Business Analyst,"Matric Psychology Financial Analysis, Counseling, SQL Creative Writing"
Bachelor's,Engineering,"Python, Machine Learning, SQL",Creative Writing,66,ML Engineer,"Bachelor's Engineering Python, Machine Learning, SQL Creative Writing"
Master's,Science,"Python, MS Office, Communication",AWS Certified,61,Research Scientist,"Master's Science Python, MS Office, Communication AWS Certified"
Intermediate,Business,"Accounting, Machine Learning, Counseling",Digital Marketing,70,Software Engineer,"Intermediate Business Accounting, Machine Learning, Counseling Digital Marketing"
Bachelor's,Commerce,"MS Office, Marketing, Counseling",,75,Research Scientist,
PhD,Finance,"Marketing, Communication",Digital Marketing,90,Research Scientist,"PhD Finance Marketing, Communication Digital Marketing"
Matric,Arts,"Financial Analysis, Machine Learning",CFA Level 1,82,ML Engineer,"Matric Arts Financial Analysis, Machine Learning CFA Level 1"
Bachelor's,Arts,"Machine Learning, Financial Analysis",AWS Certified,77,Business Analyst,"Bachelor's Arts Machine Learning, Financial Analysis AWS Certified"
PhD,Psychology,Accounting,Mental Health Basics,77,Software Engineer,PhD Psychology Accounting Mental Health Basics
Master's,Psychology,Marketing,CFA Level 1,85,Research Scientist,Master's Psychology Marketing CFA Level 1
PhD,Engineering,"Communication, Machine Learning",,82,Business Analyst,
Master's,Business,"Data Analysis, MS Office",CFA Level 1,71,Research Scientist,"Master's Business Data Analysis, MS Office CFA Level 1"
Matric,Finance,"Marketing, Communication, SQL",CFA Level 1,63,Business Analyst,"Matric Finance Marketing, Communication, SQL CFA Level 1"
Matric,Science,"Communication, Python, Data Analysis",Digital Marketing,74,Research Scientist,"Matric Science Communication, Python, Data Analysis Digital Marketing"
Intermediate,Arts,"SQL, Machine Learning, Financial Analysis",CFA Level 1,76,ML Engineer,"Intermediate Arts SQL, Machine Learning, Financial Analysis CFA Level 1"
Bachelor's,Computer Science,"SQL, Communication, Marketing",Digital Marketing,87,Software Engineer,"Bachelor's Computer Science SQL, Communication, Marketing Digital Marketing"
Intermediate,Science,"Data Analysis, Accounting",CFA Level 1,71,Research Scientist,"Intermediate Science Data Analysis, Accounting CFA Level 1"
Intermediate,Computer Science,SQL,AWS Certified,78,ML Engineer,Intermediate Computer Science SQL AWS Certified
Master's,Arts,Python,,67,ML Engineer,
PhD,Arts,"Accounting, Python, Data Analysis",Digital Marketing,76,Business Analyst,"PhD Arts Accounting, Python, Data Analysis Digital Marketing"
PhD,Science,"Counseling, SQL",Google Data Analytics,74,Software Engineer,"PhD Science Counseling, SQL Google Data Analytics"
Master's,Science,"Data Analysis, Marketing",Digital Marketing,76,ML Engineer,"Master's Science Data Analysis, Marketing Digital Marketing"
PhD,Finance,"Financial Analysis, Machine Learning, Communication",Digital Marketing,79,Research Scientist,"PhD Finance Financial Analysis, Machine Learning, Communication Digital Marketing"
Master's,Computer Science,"Python, Financial Analysis, Communication",Creative Writing,95,Research Scientist,"Master's Computer Science Python, Financial Analysis, Communication Creative Writing"
PhD,Science,"Python, Marketing",Mental Health Basics,90,Research Scientist,"PhD Science Python, Marketing Mental Health Basics"
Bachelor's,Science,"Machine Learning, SQL",Tally ERP,72,ML Engineer,"Bachelor's Science Machine Learning, SQL Tally ERP"
Intermediate,Arts,"Accounting, MS Office",AWS Certified,91,Business Analyst,"Intermediate Arts Accounting, MS Office AWS Certified"
Intermediate,Commerce,"Data Analysis, MS Office",Creative Writing,68,ML Engineer,"Intermediate Commerce Data Analysis, MS Office Creative Writing"
Intermediate,Business,"MS Office, Python, SQL",Mental Health Basics,62,Business Analyst,"Intermediate Business MS Office, Python, SQL Mental Health Basics"
Matric,Arts,"Communication, Machine Learning",Google Data Analytics,91,ML Engineer,"Matric Arts Communication, Machine Learning Google Data Analytics"
Matric,Finance,Data Analysis,CFA Level 1,76,Software Engineer,Matric Finance Data Analysis CFA Level 1
Intermediate,Arts,"Communication, Python, Accounting",Google Data Analytics,74,Research Scientist,"Intermediate Arts Communication, Python, Accounting Google Data Analytics"
Bachelor's,Business,Machine Learning,,65,Research Scientist,
Master's,Computer Science,"Counseling, Data Analysis, MS Office",Google Data Analytics,71,Software Engineer,"Master's Computer Science Counseling, Data Analysis, MS Office Google Data Analytics"
Master's,Computer Science,Machine Learning,AWS Certified,63,Research Scientist,Master's Computer Science Machine Learning AWS Certified
Bachelor's,Business,Financial Analysis,Google Data Analytics,64,Business Analyst,Bachelor's Business Financial Analysis Google Data Analytics
Master's,Engineering,"Python, SQL, MS Office",CFA Level 1,85,Software Engineer,"Master's Engineering Python, SQL, MS Office CFA Level 1"
Intermediate,Commerce,Python,Tally ERP,63,Software Engineer,Intermediate Commerce Python Tally ERP
PhD,Science,"Communication, SQL, Counseling",Tally ERP,90,Software Engineer,"PhD Science Communication, SQL, Counseling Tally ERP"
Bachelor's,Science,Counseling,Tally ERP,94,ML Engineer,Bachelor's Science Counseling Tally ERP
Intermediate,Science,Machine Learning,Creative Writing,92,Business Analyst,Intermediate Science Machine Learning Creative Writing
Matric,Arts,"Python, Accounting, Data Analysis",Mental Health Basics,63,Business Analyst,"Matric Arts Python, Accounting, Data Analysis Mental Health Basics"
Intermediate,Psychology,"Python, Communication",,87,Software Engineer,
Matric,Arts,"Marketing, SQL",Mental Health Basics,89,Research Scientist,"Matric Arts Marketing, SQL Mental Health Basics"
Intermediate,Computer Science,"Python, Accounting, SQL",Google Data Analytics,74,Business Analyst,"Intermediate Computer Science Python, Accounting, SQL Google Data Analytics"
Bachelor's,Computer Science,"Communication, Data Analysis, SQL",Digital Marketing,88,ML Engineer,"Bachelor's Computer Science Communication, Data Analysis, SQL Digital Marketing"
Intermediate,Engineering,"Financial Analysis, Data Analysis",Google Data Analytics,92,Research Scientist,"Intermediate Engineering Financial Analysis, Data Analysis Google Data Analytics"
Intermediate,Finance,Marketing,Digital Marketing,65,Research Scientist,Intermediate Finance Marketing Digital Marketing
PhD,Finance,Financial Analysis,Mental Health Basics,76,Business Analyst,PhD Finance Financial Analysis Mental Health Basics
Bachelor's,Computer Science,Marketing,,61,ML Engineer,
Bachelor's,Science,"Communication, Data Analysis, Financial Analysis",AWS Certified,89,Research Scientist,"Bachelor's Science Communication, Data Analysis, Financial Analysis AWS Certified"
Matric,Engineering,"Financial Analysis, Communication, SQL",,93,Software Engineer,
Matric,Commerce,"Communication, Accounting",Google Data Analytics,75,ML Engineer,"Matric Commerce Communication, Accounting Google Data Analytics"
Intermediate,Science,"Counseling, Communication",Digital Marketing,84,Business Analyst,"Intermediate Science Counseling, Communication Digital Marketing"
Bachelor's,Science,Python,Mental Health Basics,91,ML Engineer,Bachelor's Science Python Mental Health Basics
PhD,Arts,Accounting,CFA Level 1,83,Software Engineer,PhD Arts Accounting CFA Level 1
PhD,Finance,"Accounting, Machine Learning, MS Office",Google Data Analytics,62,ML Engineer,"PhD Finance Accounting, Machine Learning, MS Office Google Data Analytics"
Master's,Commerce,"Data Analysis, MS Office, SQL",Digital Marketing,95,Business Analyst,"Master's Commerce Data Analysis, MS Office, SQL Digital Marketing"
Master's,Arts,SQL,,94,ML Engineer,
Intermediate,Arts,"SQL, Counseling, Data Analysis",Digital Marketing,82,ML Engineer,"Intermediate Arts SQL, Counseling, Data Analysis Digital Marketing"
Master's,Commerce,"Marketing, Accounting, Data Analysis",CFA Level 1,93,ML Engineer,"Master's Commerce Marketing, Accounting, Data Analysis CFA Level 1"
Bachelor's,Engineering,"Data Analysis, Machine Learning, Marketing",CFA Level 1,91,Business Analyst,"Bachelor's Engineering Data Analysis, Machine Learning, Marketing CFA Level 1"
Master's,Engineering,"Financial Analysis, Counseling, Accounting",CFA Level 1,70,Research Scientist,"Master's Engineering Financial Analysis, Counseling, Accounting CFA Level 1"
Bachelor's,Commerce,"SQL, MS Office",CFA Level 1,60,ML Engineer,"Bachelor's Commerce SQL, MS Office CFA Level 1"
Master's,Arts,"MS Office, Data Analysis",Google Data Analytics,73,ML Engineer,"Master's Arts MS Office, Data Analysis Google Data Analytics"
Bachelor's,Psychology,"Accounting, Data Analysis, Communication",CFA Level 1,92,Research Scientist,"Bachelor's Psychology Accounting, Data Analysis, Communication CFA Level 1"
Master's,Computer Science,"Counseling, MS Office, Data Analysis",AWS Certified,84,Business Analyst,"Master's Computer Science Counseling, MS Office, Data Analysis AWS Certified"
Intermediate,Arts,Financial Analysis,,73,Business Analyst,
Bachelor's,Psychology,"SQL, Machine Learning",Digital Marketing,88,Software Engineer,"Bachelor's Psychology SQL, Machine Learning Digital Marketing"
PhD,Commerce,"Machine Learning, Accounting",CFA Level 1,91,ML Engineer,"PhD Commerce Machine Learning, Accounting CFA Level 1"
Master's,Engineering,"SQL, Machine Learning, MS Office",CFA Level 1,65,ML Engineer,"Master's Engineering SQL, Machine Learning, MS Office CFA Level 1"
Matric,Psychology,"Data Analysis, Accounting, Python",,76,Software Engineer,
Master's,Commerce,"Accounting, Communication",,76,Business Analyst,
Master's,Arts,"Accounting, SQL",Mental Health Basics,71,Business Analyst,"Master's Arts Accounting, SQL Mental Health Basics"
Master's,Arts,"Marketing, Accounting",,88,Software Engineer,
Intermediate,Psychology,"Financial Analysis, Machine Learning",CFA Level 1,69,Business Analyst,"Intermediate Psychology Financial Analysis, Machine Learning CFA Level 1"
Bachelor's,Psychology,Communication,CFA Level 1,76,ML Engineer,Bachelor's Psychology Communication CFA Level 1
Bachelor's,Psychology,"Counseling, Python",Tally ERP,66,Research Scientist,"Bachelor's Psychology Counseling, Python Tally ERP"
Master's,Computer Science,"Accounting, Python, SQL",,70,ML Engineer,
Master's,Commerce,MS Office,,77,ML Engineer,
Matric,Commerce,"Accounting, SQL",AWS Certified,75,Software Engineer,"Matric Commerce Accounting, SQL AWS Certified"
Intermediate,Psychology,"MS Office, Marketing, Python",CFA Level 1,84,Business Analyst,"Intermediate Psychology MS Office, Marketing, Python CFA Level 1"
Intermediate,Arts,"Python, Financial Analysis",CFA Level 1,60,Research Scientist,"Intermediate Arts Python, Financial Analysis CFA Level 1"
Bachelor's,Computer Science,"MS Office, Data Analysis, Accounting",Digital Marketing,91,Software Engineer,"Bachelor's Computer Science MS Office, Data Analysis, Accounting Digital Marketing"
Matric,Computer Science,Data Analysis,CFA Level 1,74,ML Engineer,Matric Computer Science Data Analysis CFA Level 1
PhD,Commerce,"Accounting, SQL, Data Analysis",AWS Certified,61,Research Scientist,"PhD Commerce Accounting, SQL, Data Analysis AWS Certified"
PhD,Business,"Accounting, Counseling, Data Analysis",Creative Writing,61,Business Analyst,"PhD Business Accounting, Counseling, Data Analysis Creative Writing"
PhD,Business,"Data Analysis, MS Office, Python",Tally ERP,88,Research Scientist,"PhD Business Data Analysis, MS Office, Python Tally ERP"
Intermediate,Finance,"Communication, Data Analysis",Tally ERP,71,ML Engineer,"Intermediate Finance Communication, Data Analysis Tally ERP"
PhD,Business,"SQL, Financial Analysis",,91,ML Engineer,
Bachelor's,Arts,"Communication, Python, MS Office",Digital Marketing,72,Business Analyst,"Bachelor's Arts Communication, Python, MS Office Digital Marketing"
Matric,Science,Data Analysis,Digital Marketing,62,Business Analyst,Matric Science Data Analysis Digital Marketing
Master's,Commerce,Data Analysis,Google Data Analytics,92,ML Engineer,Master's Commerce Data Analysis Google Data Analytics
Bachelor's,Commerce,SQL,Mental Health Basics,85,Software Engineer,Bachelor's Commerce SQL Mental Health Basics
Bachelor's,Finance,"Communication, Financial Analysis",Creative Writing,67,Business Analyst,"Bachelor's Finance Communication, Financial Analysis Creative Writing"
Master's,Business,"Python, Counseling",CFA Level 1,77,Software Engineer,"Master's Business Python, Counseling CFA Level 1"
Bachelor's,Finance,"Machine Learning, Communication, MS Office",Creative Writing,66,Research Scientist,"Bachelor's Finance Machine Learning, Communication, MS Office Creative Writing"
Intermediate,Science,Accounting,Tally ERP,64,ML Engineer,Intermediate Science Accounting Tally ERP
PhD,Computer Science,"Machine Learning, Financial Analysis, Python",Digital Marketing,70,Research Scientist,"PhD Computer Science Machine Learning, Financial Analysis, Python Digital Marketing"
Intermediate,Computer Science,"SQL, Python, Data Analysis",Creative Writing,60,ML Engineer,"Intermediate Computer Science SQL, Python, Data Analysis Creative Writing"
Bachelor's,Computer Science,"Python, Communication",Creative Writing,80,Research Scientist,"Bachelor's Computer Science Python, Communication Creative Writing"
